"طابع زمني","Name of Researcher","Title of Research","DOI of the Research","Department Name","Date"
"2025/11/01 7:03:49 م غرينتش+2","Mahir Mohammed","Exploring the applications of hyaluronic acid‐based nanoparticles for diagnosis and treatment of bacterial infections","https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/wnan.1799","Pharmaceutics & Drug Delivery","2022"
"2025/11/01 7:10:48 م غرينتش+2","Mahir Mohammed","Engineering hybrid nanosystems for efficient and targeted delivery against bacterial infections","https://doi.org/10.1016/j.jconrel.2022.09.052","Pharmaceutics & Drug Delivery","2022"
"2025/11/01 7:12:51 م غرينتش+2","Mahir Mohammed","Enzyme-responsive biomimetic solid lipid nanoparticles for antibiotic delivery against hyaluronidase-secreting bacteria","https://doi.org/10.1016/j.ijpharm.2023.122967","Pharmaceutics & Drug Delivery","2023"
"2025/11/01 7:14:47 م غرينتش+2","Mahir Mohammed","T Cell and Natural Killer Cell Membrane-Camouflaged Nanoparticles for Cancer and Viral Therapies","https://pubs.acs.org/doi/abs/10.1021/acsabm.4c00074","Pharmaceutics & Drug Delivery","2024"
"2025/11/01 7:16:59 م غرينتش+2","Mahir Mohammed","Hyaluronidase inhibitor surface-modified niosomes: An efficient strategy for antibacterial and anti-biofilm drug delivery","https://doi.org/10.1016/j.mtla.2023.101826","Pharmaceutics & Drug Delivery","2023"
"2025/11/01 7:19:10 م غرينتش+2","Mahir Mohammed","Dual acting acid-cleavable self-assembling prodrug from hyaluronic acid and ciprofloxacin: A potential system for simultaneously targeting bacterial infections and cancer","https://doi.org/10.1016/j.ijbiomac.2022.09.173","Pharmaceutics & Drug Delivery","2022"
"2025/11/01 7:21:21 م غرينتش+2","Mahir Mohammed","Revolutionizing drug delivery: The promise of surface functionalized dendrimers in overcoming conventional limitations","https://doi.org/10.1016/j.eurpolymj.2025.114079","Pharmaceutics & Drug Delivery","2025"
"2025/11/01 7:23:24 م غرينتش+2","Mahir Mohammed","P04 Dual pH/enzyme-responsive capsules of ciprofloxacin; a strategy to maximize the efficacy against infection causing superbugs such as MRSA and Pseudomonas aeruginosa","https://doi.org/10.1093/jacamr/dlac133.008","Pharmaceutics & Drug Delivery","2023"
"2025/11/01 7:26:19 م غرينتش+2","Mahir Mohammed","Cell membrane-coated nanoparticles: A new frontier in atherosclerosis therapy","https://doi.org/10.1016/j.cej.2025.169183","Pharmaceutics & Drug Delivery","2025"
"2025/11/01 7:30:00 م غرينتش+2","Mahir Mohammed","Cell Membrane Engineering for Advancing Drug Delivery Against Infectious Diseases","https://link.springer.com/chapter/10.1007/978-3-031-93425-4_15","Pharmaceutics & Drug Delivery","2025"
"2025/11/01 7:33:53 م غرينتش+2","Bashier osman","Secondary metabolites as anti-inflammatory agents","https://www.academia.edu/download/46703737/Secondary_metabolites_as_anti-inflammato20160622-8180-frvgh5.pdf","Pharmacology & Toxicology","2014"
"2025/11/01 7:35:14 م غرينتش+2","Bashier osman","Rapamycin induces the TGFβ1/Smad signaling cascade in renal mesangial cells upstream of mTOR","https://doi.org/10.1016/j.cellsig.2009.07.016","Pharmacology & Toxicology","2009"
"2025/11/01 7:37:22 م غرينتش+2","Bashier osman","Impact of clinical pharmacist intervention in anticoagulation clinic in Sudan","https://link.springer.com/article/10.1007/s11096-017-0475-x","Clinical Pharmacy & Pharmacy Practice","2017"
"2025/11/01 7:39:22 م غرينتش+2","Bashier osman","Cyclosporin A and tacrolimus induce renal Erk1/2 pathway via ROS-induced and metalloproteinase-dependent EGF-receptor signaling","https://doi.org/10.1016/j.bcp.2011.11.001","Pharmacology & Toxicology","2012"
"2025/11/01 7:40:37 م غرينتش+2","Bashier osman","Effect of ethanolic leaf extract of Moringa oleifera on aluminum-induced anemia in white albino rats","https://www.academia.edu/download/76774748/Paper_20Number_205m.pdf","Pharmacology & Toxicology","2012"
"2025/11/01 7:41:55 م غرينتش+2","Bashier osman","Differential modulation of the cytokine-induced MMP-9/TIMP-1 protease–antiprotease system by the mTOR inhibitor rapamycin","https://doi.org/10.1016/j.bcp.2010.09.011","Pharmacology & Toxicology","2011"
"2025/11/01 7:46:27 م غرينتش+2","Bashier osman","The incidence, risk factors, and outcomes of acute kidney injury in the intensive care unit in Sudan","https://doi.org/10.1007/s11096-020-01147-5","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/01 7:47:42 م غرينتش+2","Bashier osman","Perception of medication errors' causes and reporting among Sudanese nurses in teaching hospitals","https://doi.org/10.1016/j.apnr.2019.151207","Clinical Pharmacy & Pharmacy Practice","2020"
"2025/11/01 7:48:51 م غرينتش+2","Bashier osman","Ameliorative activity of Adansonia digitata fruit on high sugar/high fat diet-simulated Metabolic Syndrome model in male Wistar rats","https://doi.org/10.1016/j.biopha.2020.109968","Pharmacology & Toxicology","2020"
"2025/11/01 7:50:37 م غرينتش+2","Bashier osman","Prophylactic ceftizoxime for elective cesarean delivery at Soba Hospital, Sudan","https://doi.org/10.1186/1756-0500-6-57","Clinical Pharmacy & Pharmacy Practice","2013"
"2025/11/01 7:51:58 م غرينتش+2","Bashier osman","Therapeutic outcomes evaluation of adjuvant hyperbaric oxygen therapy for non-healing diabetic foot ulcers among sudanese patients","https://doi.org/10.1016/j.dsx.2021.06.010","Clinical Pharmacy & Pharmacy Practice","2021"
"2025/11/01 7:53:47 م غرينتش+2","Bashier osman","Mycetoma management and clinical outcomes: the Mycetoma Research Center experience","https://doi.org/10.1093/trstmh/trac069","Clinical Pharmacy & Pharmacy Practice","2023"
